launch_plan_name,template
Australia TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
Austria TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
Barbados TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
Belgium TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
Brazil TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
Bulgaria TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
Canada TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
China TAK-279 Plaque Psoriasis (PsO),Zasocitinib China Template
Denmark TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
Finland TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
Germany TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
Global TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
Greece TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
Ireland TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
Israel TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
Italy TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
Japan TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
MCE TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN and GEM MCE
Netherlands TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
Norway TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
Poland TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
Romania TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
Serbia TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
Singapore TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
South Korea TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
Spain TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
Sweden TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
Switzerland TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
Taiwan TAK-279 Psoriatic Arthritis (PsA),Zasocitinib EUCAN & GEM LOC
United Kingdom TAK-279 Plaque Psoriasis (PsO),Zasocitinib EUCAN & GEM LOC
Australia TAK-861 NT1,Oveporexton EUCAN & GEM LOC
Austria TAK-861 NT1,Oveporexton EUCAN & GEM LOC
Barbados TAK-861 NT1,Oveporexton EUCAN & GEM LOC
Bolivia TAK-861 NT1,Oveporexton EUCAN & GEM LOC
Brazil TAK-861 NT1,Oveporexton EUCAN & GEM LOC
Bulgaria TAK-861 NT1,Oveporexton EUCAN & GEM LOC
Canada TAK-861 NT1,Oveporexton EUCAN & GEM LOC
Denmark TAK-861 NT1,Oveporexton EUCAN & GEM LOC
Finland TAK-861 NT1,Oveporexton EUCAN & GEM LOC
Germany TAK-861 NT1,Oveporexton EUCAN & GEM LOC
Israel TAK-861 NT1,Oveporexton EUCAN & GEM LOC
Italy TAK-861 NT1,Oveporexton EUCAN & GEM LOC
Japan TAK-861 NT1,Oveporexton EUCAN & GEM LOC
MCE TAK-861 NT1,Oveporexton EUCAN & GEM MCE
Netherlands TAK-861 NT1,Oveporexton EUCAN & GEM LOC
Norway TAK-861 NT1,Oveporexton EUCAN & GEM LOC
Romania TAK-861 NT1,Oveporexton EUCAN & GEM LOC
Singapore TAK-861 NT1,Oveporexton EUCAN & GEM LOC
Sweden TAK-861 NT1,Oveporexton EUCAN & GEM LOC
Switzerland TAK-861 NT1,Oveporexton EUCAN & GEM LOC
United Kingdom TAK-861 NT1,Oveporexton EUCAN & GEM LOC
United States TAK-861 NT1,Oveporexton EUCAN & GEM LOC
Algeria TAK-121 PV,Rusfertide EUCAN & GEM LOC
Argentina TAK-121 PV,Rusfertide EUCAN & GEM LOC
Australia TAK-121 PV,Rusfertide EUCAN & GEM LOC
Austria TAK-121 PV,Rusfertide EUCAN & GEM LOC
Barbados TAK-121 PV,Rusfertide EUCAN & GEM LOC
Brazil TAK-121 PV,Rusfertide EUCAN & GEM LOC
Bulgaria TAK-121 PV,Rusfertide EUCAN & GEM LOC
Canada TAK-121 PV,Rusfertide EUCAN & GEM LOC
Chile TAK-121 PV,Rusfertide EUCAN & GEM LOC
Colombia TAK-121 PV,Rusfertide EUCAN & GEM LOC
Czech Republic TAK-121 PV,Rusfertide EUCAN & GEM LOC
Denmark TAK-121 PV,Rusfertide EUCAN & GEM LOC
Finland TAK-121 PV,Rusfertide EUCAN & GEM LOC
Germany TAK-121 PV,Rusfertide EUCAN & GEM LOC
Israel TAK-121 PV,Rusfertide EUCAN & GEM LOC
Jordan TAK-121 PV,Rusfertide EUCAN & GEM LOC
Latvia TAK-121 PV,Rusfertide EUCAN & GEM LOC
Mexico TAK-121 PV,Rusfertide EUCAN & GEM LOC
Norway TAK-121 PV,Rusfertide EUCAN & GEM LOC
Poland TAK-121 PV,Rusfertide EUCAN & GEM LOC
Romania TAK-121 PV,Rusfertide EUCAN & GEM LOC
Saudi Arabia TAK-121 PV,Rusfertide EUCAN & GEM LOC
Serbia TAK-121 PV,Rusfertide EUCAN & GEM LOC
Singapore TAK-121 PV,Rusfertide EUCAN & GEM LOC
South Korea TAK-121 PV,Rusfertide EUCAN & GEM LOC
Spain TAK-121 PV,Rusfertide EUCAN & GEM LOC
Sweden TAK-121 PV,Rusfertide EUCAN & GEM LOC
Switzerland TAK-121 PV,Rusfertide EUCAN & GEM LOC
United Arab Emirates TAK-121 PV,Rusfertide EUCAN & GEM LOC
United Kingdom TAK-121 PV,Rusfertide EUCAN & GEM LOC
